<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,CLOSE,<VOL>
MOEX.SBER:SMAL,60,17/05/22,19:00:00,125.8000000,125.8000000,125.8000000,125.8000000,4
MOEX.SBER:SMAL,60,18/05/22,11:00:00,128.1900000,132.0000000,128.0000000,132.0000000,36
MOEX.SBER:SMAL,60,18/05/22,12:00:00,129.9900000,132.0100000,129.4100000,129.4100000,6
MOEX.SBER:SMAL,60,18/05/22,17:00:00,129.0000000,129.0000000,126.0100000,126.0100000,5
MOEX.SBER:SMAL,60,18/05/22,19:00:00,126.0000000,126.0000000,126.0000000,126.0000000,1
MOEX.SBER:SMAL,60,19/05/22,13:00:00,125.5900000,128.8700000,125.5900000,128.8700000,2
MOEX.SBER:SMAL,60,19/05/22,18:00:00,128.8500000,128.8500000,128.8500000,128.8500000,4
MOEX.SBER:SMAL,60,20/05/22,11:00:00,127.9900000,127.9900000,125.0000000,125.0000000,2
MOEX.SBER:SMAL,60,20/05/22,12:00:00,124.7000000,124.7000000,124.5000000,124.5000000,10
MOEX.SBER:SMAL,60,20/05/22,16:00:00,123.4100000,123.4100000,123.0000000,123.0000000,4
MOEX.SBER:SMAL,60,23/05/22,11:00:00,122.9900000,123.0000000,122.9900000,123.0000000,5
MOEX.SBER:SMAL,60,23/05/22,12:00:00,121.0000000,121.0000000,121.0000000,121.0000000,1
MOEX.SBER:SMAL,60,23/05/22,13:00:00,123.0500000,123.0500000,121.0100000,121.0100000,3
MOEX.SBER:SMAL,60,23/05/22,14:00:00,120.7000000,120.7000000,120.5000000,120.5000000,3
MOEX.SBER:SMAL,60,23/05/22,17:00:00,120.0000000,120.0000000,120.0000000,120.0000000,1
MOEX.SBER:SMAL,60,23/05/22,18:00:00,120.0000000,120.0000000,119.0000000,119.0000000,2
MOEX.SBER:SMAL,60,24/05/22,11:00:00,121.7900000,121.7900000,121.7900000,121.7900000,3
MOEX.SBER:SMAL,60,24/05/22,12:00:00,117.9800000,117.9800000,117.5000000,117.5100000,10
MOEX.SBER:SMAL,60,24/05/22,13:00:00,120.0000000,120.0000000,120.0000000,120.0000000,1
MOEX.SBER:SMAL,60,24/05/22,14:00:00,117.5100000,119.9000000,117.5100000,119.9000000,3
MOEX.SBER:SMAL,60,24/05/22,15:00:00,121.2700000,123.9500000,120.2100000,120.2100000,5
MOEX.SBER:SMAL,60,24/05/22,18:00:00,122.0100000,122.1100000,122.0100000,122.1100000,8
MOEX.SBER:SMAL,60,25/05/22,14:00:00,124.0000000,124.0000000,122.2000000,122.2000000,9
MOEX.SBER:SMAL,60,25/05/22,15:00:00,122.2500000,122.2500000,120.9300000,120.9300000,2
MOEX.SBER:SMAL,60,25/05/22,16:00:00,123.9700000,123.9700000,123.1000000,123.1000000,2
MOEX.SBER:SMAL,60,25/05/22,17:00:00,124.0000000,124.0000000,120.8500000,120.8500000,7
